Date,Forecast
2024-12-31,2538.09
2025-01-01,2525.78
2025-01-02,2504.35
2025-01-03,2479.37
2025-01-04,2453.99
2025-01-05,2429.9
2025-01-06,2407.96
2025-01-07,2388.51
2025-01-08,2371.66
2025-01-09,2357.34
2025-01-10,2345.41
2025-01-11,2335.68
2025-01-12,2327.94
2025-01-13,2322.01
2025-01-14,2317.68
2025-01-15,2314.75
2025-01-16,2313.04
2025-01-17,2312.39
2025-01-18,2312.63
2025-01-19,2313.61
2025-01-20,2315.21
2025-01-21,2317.29
2025-01-22,2319.76
2025-01-23,2322.5
2025-01-24,2325.43
2025-01-25,2328.48
2025-01-26,2331.59
2025-01-27,2334.68
2025-01-28,2337.73
2025-01-29,2340.69
